"﻿Date","Open","High","Low","Close","Volume","Code"
"7-Jan-11",615.91,618.25,610.13,616.44,2101270,"GOOG"
"6-Jan-11",610.68,618.43,610.05,613.5,2058176,"GOOG"
"5-Jan-11",600.07,610.33,600.05,609.07,2532225,"GOOG"
"4-Jan-11",605.62,606.18,600.12,602.12,1825499,"GOOG"
"3-Jan-11",596.48,605.59,596.48,604.35,2366286,"GOOG"
"31-Dec-10",596.74,598.42,592.03,593.97,1541459,"GOOG"
"30-Dec-10",598,601.33,597.39,598.86,989479,"GOOG"
"29-Dec-10",602,602.41,598.92,601,1019823,"GOOG"
"28-Dec-10",602.05,603.87,598.01,598.92,1064746,"GOOG"
"27-Dec-10",602.74,603.78,599.5,602.38,1208128,"GOOG"
"23-Dec-10",604.23,604.23,604.23,604.23,0,"GOOG"
"22-Dec-10",604,607,603.28,605.49,1207929,"GOOG"
"21-Dec-10",598.57,604.72,597.62,603.07,1881688,"GOOG"
"20-Dec-10",594.65,597.88,588.66,595.06,1973768,"GOOG"
"17-Dec-10",591,592.56,587.67,590.8,3089328,"GOOG"
"16-Dec-10",592.85,593.77,588.07,591.71,1596820,"GOOG"
"15-Dec-10",594.2,596.45,589.15,590.3,2168131,"GOOG"
"14-Dec-10",597.09,598.29,592.48,594.91,1643253,"GOOG"
"13-Dec-10",597.12,603,594.09,594.62,2403442,"GOOG"
"10-Dec-10",593.14,593.99,590.29,592.21,1705121,"GOOG"
"9-Dec-10",593.88,595.58,589,591.5,1868972,"GOOG"
"8-Dec-10",591.97,592.52,583.69,590.54,1757126,"GOOG"
"7-Dec-10",591.27,593,586,587.14,3047879,"GOOG"
"6-Dec-10",580.57,582,576.61,578.36,2095525,"GOOG"
"3-Dec-10",569.45,576.48,568,573,2633126,"GOOG"
"2-Dec-10",568.66,573.33,565.35,571.82,2550572,"GOOG"
"1-Dec-10",563,571.57,562.4,564.35,3757609,"GOOG"
"30-Nov-10",574.32,574.32,553.31,555.71,7117385,"GOOG"
"29-Nov-10",589.17,589.8,579.95,582.11,2859953,"GOOG"
"26-Nov-10",590.46,592.98,587,590,1311038,"GOOG"
"24-Nov-10",594.97,594.97,594.97,594.97,0,"GOOG"
"23-Nov-10",587.01,589.01,578.2,583.01,2166947,"GOOG"
"22-Nov-10",587.47,593.44,582.75,591.22,2186511,"GOOG"
"19-Nov-10",597,597.89,590.34,590.83,2298978,"GOOG"
"18-Nov-10",589,599.98,588.56,596.56,2590876,"GOOG"
"17-Nov-10",585,589.5,581.37,583.55,2442412,"GOOG"
"16-Nov-10",592.76,597.89,583.45,583.72,3308665,"GOOG"
"15-Nov-10",603.08,604,594.05,595.47,3480120,"GOOG"
"12-Nov-10",613.99,616.9,601.21,603.29,3395209,"GOOG"
"11-Nov-10",619.7,619.85,614.21,617.19,2262019,"GOOG"
"10-Nov-10",622.08,623,617.51,622.88,2499828,"GOOG"
"9-Nov-10",630,630.85,620.51,624.82,2240293,"GOOG"
"8-Nov-10",625.12,629.49,623.13,626.77,2102262,"GOOG"
"5-Nov-10",623.18,625.49,621.11,625.08,1766546,"GOOG"
"4-Nov-10",624.64,629.92,622.1,624.27,3571173,"GOOG"
"3-Nov-10",617.5,621.83,613.5,620.18,3382183,"GOOG"
"2-Nov-10",618.67,620,614.58,615.6,1999774,"GOOG"
"1-Nov-10",615.73,620.66,611.21,615,3088417,"GOOG"
"29-Oct-10",617.07,619,612.99,613.7,2281279,"GOOG"
"28-Oct-10",620.05,621,613.3,618.58,2187396,"GOOG"
"27-Oct-10",615.77,620,612.33,616.47,2242414,"GOOG"
"26-Oct-10",613.1,621.23,611.03,618.6,2513633,"GOOG"
"25-Oct-10",615.59,624.74,614.97,616.5,3158700,"GOOG"
"22-Oct-10",611.92,614.82,610.05,612.53,2256598,"GOOG"
"21-Oct-10",611.51,616,606,611.99,2923627,"GOOG"
"20-Oct-10",608.14,617.38,607.5,607.98,3526976,"GOOG"
"19-Oct-10",608.85,614.82,602.86,607.83,4591178,"GOOG"
"18-Oct-10",600.55,619.69,600.55,617.71,7109313,"GOOG"
"15-Oct-10",599.27,601.64,591.6,601.45,14824722,"GOOG"
"14-Oct-10",544.18,545.25,537.11,540.93,6634018,"GOOG"
"13-Oct-10",547,547.49,542.33,543.3,3060836,"GOOG"
"12-Oct-10",540.12,545.99,537.79,541.39,3757178,"GOOG"
