"﻿Date","Open","High","Low","Close","Volume","Code"
"15-Nov-10",308.46,310.54,306.27,307.04,14414422,"AAPL"
"12-Nov-10",316,316.5,303.63,308.03,28423066,"AAPL"
"11-Nov-10",315,318.4,314.25,316.66,12902919,"AAPL"
"10-Nov-10",316.64,318.77,313.55,318.03,13722339,"AAPL"
"9-Nov-10",321.05,321.3,314.5,316.08,13704115,"AAPL"
"8-Nov-10",319.36,319.77,316.76,318.62,10061901,"AAPL"
"5-Nov-10",317.99,319.57,316.75,317.13,12901895,"AAPL"
"4-Nov-10",315.45,320.18,315.03,318.27,22945997,"AAPL"
"3-Nov-10",311.37,312.88,308.53,312.8,18155264,"AAPL"
"2-Nov-10",307,310.19,307,309.36,15497491,"AAPL"
"1-Nov-10",302.22,305.6,302.2,304.18,15138893,"AAPL"
"29-Oct-10",304.23,305.88,300.87,300.98,15375304,"AAPL"
"28-Oct-10",307.95,308,300.9,305.24,19680220,"AAPL"
"27-Oct-10",307.65,309.9,305.6,307.83,14250010,"AAPL"
"26-Oct-10",306.87,309.74,305.65,308.05,14033191,"AAPL"
"25-Oct-10",309.09,311.6,308.44,308.84,14015428,"AAPL"
"22-Oct-10",309.07,310.04,306.3,307.47,13313408,"AAPL"
"21-Oct-10",312.36,314.74,306.8,309.52,19694903,"AAPL"
"20-Oct-10",309,314.25,306.87,310.53,25772290,"AAPL"
"19-Oct-10",303.4,313.77,300.02,309.49,44027119,"AAPL"
"18-Oct-10",318.47,319,314.29,318,39444913,"AAPL"
"15-Oct-10",307.44,315,304.91,314.74,32935492,"AAPL"
"14-Oct-10",301.69,302.47,300.4,302.31,15546275,"AAPL"
"13-Oct-10",300.2,301.96,299.8,300.14,22503227,"AAPL"
"12-Oct-10",295.41,299.5,292.49,298.54,19947809,"AAPL"
"11-Oct-10",294.74,297.24,294.6,295.36,15276819,"AAPL"
"8-Oct-10",291.71,294.5,290,294.07,23514402,"AAPL"
"7-Oct-10",290.34,290.48,286.91,289.22,14585611,"AAPL"
"6-Oct-10",289.59,291.99,285.26,289.19,23959502,"AAPL"
"5-Oct-10",282,289.45,281.82,288.94,17927350,"AAPL"
"4-Oct-10",281.6,282.9,277.77,278.64,15546424,"AAPL"
"1-Oct-10",286.15,286.58,281.35,282.52,16014492,"AAPL"
"30-Sep-10",289,290,281.25,283.75,24049636,"AAPL"
"29-Sep-10",287.23,289.81,286,287.37,16772944,"AAPL"
"28-Sep-10",291.77,291.77,275,286.86,36965773,"AAPL"
"27-Sep-10",293.98,294.73,291.01,291.16,17253559,"AAPL"
"24-Sep-10",292.1,293.53,290.55,292.32,23195972,"AAPL"
"23-Sep-10",286.33,292.76,286,288.92,28075553,"AAPL"
"22-Sep-10",282.71,287.98,282.41,287.75,20907682,"AAPL"
"21-Sep-10",283.86,287.35,282.79,283.77,23916983,"AAPL"
"20-Sep-10",276.08,283.78,275.85,283.23,23546119,"AAPL"
"17-Sep-10",277.69,277.96,273.68,275.37,22659813,"AAPL"
"16-Sep-10",270.24,276.67,269.5,276.57,23289341,"AAPL"
"15-Sep-10",268.17,270.38,267.84,270.22,15334510,"AAPL"
"14-Sep-10",266.21,269.17,265.52,268.06,14576759,"AAPL"
"13-Sep-10",265.82,268.28,265.76,267.04,13884995,"AAPL"
"10-Sep-10",263.19,264.5,261.4,263.41,13848617,"AAPL"
"9-Sep-10",265.04,266.52,262.92,263.07,15663371,"AAPL"
"8-Sep-10",259.78,264.39,259.1,262.92,18805302,"AAPL"
"7-Sep-10",256.64,259.53,256.25,257.81,12243759,"AAPL"
"6-Sep-10",258.77,258.77,258.77,258.77,0,"AAPL"
"3-Sep-10",258.77,258.77,258.77,258.77,0,"AAPL"
"2-Sep-10",251.26,252.17,248.57,252.17,14836614,"AAPL"
"1-Sep-10",247.47,251.46,246.28,250.33,24894115,"AAPL"
"31-Aug-10",241.85,244.56,240.35,243.1,15028086,"AAPL"
"30-Aug-10",240.76,245.75,240.69,242.5,13688842,"AAPL"
"27-Aug-10",241.75,241.76,240.2,241.62,19592368,"AAPL"
"26-Aug-10",245.45,245.75,240.28,240.28,16660829,"AAPL"
"25-Aug-10",238.04,243.99,237.41,242.89,21316604,"AAPL"
"24-Aug-10",242.67,243,240.11,239.93,21519744,"AAPL"
"23-Aug-10",251.79,252,245.25,245.8,14788116,"AAPL"
"20-Aug-10",249.39,253.92,249,249.64,13722458,"AAPL"
"19-Aug-10",252.84,253.48,248.68,249.88,15239461,"AAPL"
"18-Aug-10",252.36,254.67,251.58,253.07,12131989,"AAPL"
"17-Aug-10",250.08,254.63,250,251.97,15094603,"AAPL"
"16-Aug-10",247.58,250.01,246.62,247.64,11372407,"AAPL"
"13-Aug-10",251.65,251.65,249.09,249.1,12673805,"AAPL"
"12-Aug-10",246.69,253.1,246.6,251.79,19104262,"AAPL"
"11-Aug-10",255.4,255.69,249.81,250.19,22144724,"AAPL"
"10-Aug-10",259.85,260.45,257.55,259.41,16139915,"AAPL"
"9-Aug-10",261.48,262.15,259.57,261.75,10825908,"AAPL"
"6-Aug-10",259.78,261.49,257.63,260.09,15893330,"AAPL"
"5-Aug-10",261.73,263.18,260.55,261.7,10334374,"AAPL"
"4-Aug-10",262.84,264.28,260.31,262.98,15019868,"AAPL"
"3-Aug-10",261.01,263.26,259.42,261.93,14916174,"AAPL"
